QID,PID,QueryCommand,QueryType,QueryValue,Filter1_operator,Filter1,Filter2_operator,Filter2,Filter3_operator,Filter3,Filter4_operator,Filter4,Filter5_operator,Filter5,CreateTime,UpdateTime
645,2059,"Imports System
  Public Class Calculator
    Public Function Calculate() as String
    Dim result As String = """"
    result = IF((CDbl(""var1"")) > 0,""NG"",""OK"")
    Return result
  End Function
End Class",欄位間計算,文字,,缺點率,,"IF((CDbl(Var1)) > 0,""NG"",""OK"")",,,,,,,NULL,NULL
644,1810,"Imports System
  Public Class Calculator
    Public Function Calculate() as String
    Dim result As String = """"
    result = IF((CDbl(""var1"")) > 0,""NG"",""OK"")
    Return result
  End Function
End Class",欄位間計算,文字,,不良率,,"IF((CDbl(Var1)) > 0,""NG"",""OK"")",,,,,,,NULL,NULL
643,1824,"Imports System
  Public Class Calculator
    Public Function Calculate() as String
    Dim result As String = """"
    result = IF((CDbl(""var1"")) > 0,""NG"",""OK"")
    Return result
  End Function
End Class",欄位間計算,文字,,缺點率,,"IF((CDbl(Var1)) > 0,""NG"",""OK"")",,,,,,,NULL,NULL
642,2152,"Imports System
  Public Class Calculator
    Public Function Calculate() as String
    Dim result As String = """"
    result = IF((CDbl(""var1"")) > 0,""NG"",""OK"")
    Return result
  End Function
End Class",欄位間計算,文字,,缺點總和,,"IF((CDbl(Var1)) > 0,""NG"",""OK"")",,,,,,,NULL,NULL
641,1884,"Imports System
  Public Class Calculator
    Public Function Calculate() as String
    Dim result As String = """"
    result = IF((CDbl(""var1"")) > 0,""NG"",""OK"")
    Return result
  End Function
End Class",欄位間計算,文字,,缺點率,,"IF((CDbl(Var1)) > 0,""NG"",""OK"")",,,,,,,NULL,NULL
640,1923,"Imports System
  Public Class Calculator
    Public Function Calculate() as String
    Dim result As String = """"
    result = IF((CDbl(""var1"")) > 0,""NG"",""OK"")
    Return result
  End Function
End Class",欄位間計算,文字,,缺點率,,"IF((CDbl(Var1)) > 0,""NG"",""OK"")",,,,,,,NULL,NULL
639,1939,"Imports System
  Public Class Calculator
    Public Function Calculate() as String
    Dim result As String = """"
    result = IF((CDbl(""var1"")) > 0,""NG"",""OK"")
    Return result
  End Function
End Class",欄位間計算,文字,,缺點率,,"IF((CDbl(Var1)) > 0,""NG"",""OK"")",,,,,,,NULL,NULL
638,1950,"Imports System
  Public Class Calculator
    Public Function Calculate() as String
    Dim result As String = """"
    result = IF((CDbl(""var1"")) > 0,""NG"",""OK"")
    Return result
  End Function
End Class",欄位間計算,文字,,缺點率,,"IF((CDbl(Var1)) > 0,""NG"",""OK"")",,,,,,,NULL,NULL
637,2099,"Imports System
  Public Class Calculator
    Public Function Calculate() as String
    Dim result As String = """"
    result = IF((CDbl(""var1"")) > 0,""NG"",""OK"")
    Return result
  End Function
End Class",欄位間計算,文字,,缺點率,,"IF((CDbl(Var1)) > 0,""NG"",""OK"")",,,,,,,NULL,NULL
636,2107,"Imports System
  Public Class Calculator
    Public Function Calculate() as String
    Dim result As String = """"
    result = IF((CDbl(""var1"")) > 0,""NG"",""OK"")
    Return result
  End Function
End Class",欄位間計算,文字,,缺點率,,"IF((CDbl(Var1)) > 0,""NG"",""OK"")",,,,,,,NULL,NULL
635,2133,"Imports System
  Public Class Calculator
    Public Function Calculate() as String
    Dim result As String = """"
    result = IF((CDbl(""var1"")) > 0,""NG"",""OK"")
    Return result
  End Function
End Class",欄位間計算,文字,,缺點率,,"IF((CDbl(Var1)) > 0,""NG"",""OK"")",,,,,,,NULL,NULL
634,2118,"Imports System
  Public Class Calculator
    Public Function Calculate() as String
    Dim result As String = """"
    result = IF((CDbl(""var1"")) > 0,""NG"",""OK"")
    Return result
  End Function
End Class",欄位間計算,文字,,缺點率,,"IF((CDbl(Var1)) > 0,""NG"",""OK"")",,,,,,,NULL,NULL
633,228,"SELECT TOP 1 [PARAMETER_VALUE]
FROM [utchfacmrpt].[report].[dbo].[view_OPParam] WITH (NOLOCK)
WHERE [LayerName] = 'VarLayer'
AND [PartNum] = 'VarPart'
AND [Revision] = 'VarRev'
AND [ProcName] = 'VarProc'
AND [PARAMETER_DESC] = 'ABF種類(ABF TYPE)'",OP參數,參數中值,=,,=,ABF種類(ABF TYPE),,,,,,,NULL,NULL
632,2115,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '41'
AND TRIM(pcs.[ItemName]) = 'printing shift(印刷偏移)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,5Core-Plug Hole,=,printing shift(印刷偏移),,,,,需篩選層別,,NULL,NULL
631,2114,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '41'
AND TRIM(pcs.[ItemName]) = 'epoxy not enough(樹脂塞孔量不足)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,5Core-Plug Hole,=,epoxy not enough(樹脂塞孔量不足),,,,,需篩選層別,,NULL,NULL
630,2113,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '41'
AND TRIM(pcs.[ItemName]) = 'Missing plugging(塞孔漏塞)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,5Core-Plug Hole,=,Missing plugging(塞孔漏塞),,,,,需篩選層別,,NULL,NULL
629,2104,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '41'
AND TRIM(pcs.[ItemName]) = 'Black hole(黑洞)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,5Core-Plug Hole,=,Black hole(黑洞),,,,,需篩選層別,,NULL,NULL
628,1872,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '38'
AND TRIM(pcs.[ItemName]) = 'Others(Major) (其他主缺)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,5Core-PTH,=,Others(Major) (其他主缺),,,,,需篩選層別,,NULL,NULL
627,1871,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '38'
AND TRIM(pcs.[ItemName]) = 'Warpage(板彎板翹)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,5Core-PTH,=,Warpage(板彎板翹),,,,,需篩選層別,,NULL,NULL
626,1870,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '38'
AND TRIM(pcs.[ItemName]) = 'Tape(殘膠)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,5Core-PTH,=,Tape(殘膠),,,,,需篩選層別,,NULL,NULL
625,1869,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '38'
AND TRIM(pcs.[ItemName]) = 'Foreign material on panel(板面異物)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,5Core-PTH,=,Foreign material on panel(板面異物),,,,,需篩選層別,,NULL,NULL
624,1868,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '38'
AND TRIM(pcs.[ItemName]) = 'Scratch on panel(板面刮傷)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,5Core-PTH,=,Scratch on panel(板面刮傷),,,,,需篩選層別,,NULL,NULL
623,1867,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '38'
AND TRIM(pcs.[ItemName]) = 'Others(Major) (其他缺點)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,5Core-PTH,=,Others(Major) (其他缺點),,,,,需篩選層別,,NULL,NULL
622,1866,"DECLARE @Face AS varchar(5)
SET @Face = CASE WHEN 'VarFace' = '1' THEN 1 WHEN 'VarFace' = '2' THEN 0 END

SELECT 
    CASE 
        WHEN EXISTS (
SELECT TOP 1 [ChangeTIme] FROM [utchfacmrpt].[report].[dbo].[view_HIST] WITH(NOLOCK) 
WHERE [lotnum] = 'VarLot'
AND [LayerName] = 'VarLayer'
AND [ProcName] = 'VarProc'
AND [AftStatus] = 'MoveOut'
AND [BefStatus] = 'CheckOut'
        )
        THEN (
SELECT TOP 1 CAST(ISNULL(SUM([DefectQty]),0) AS varchar) AS [Qty] FROM [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Panel] AS pnl WITH(NOLOCK) 
LEFT JOIN [MES-C].[IPQC_Mapping_H3].[dbo].[RawData_Pcs] AS pcs WITH(NOLOCK) ON pnl.[RecNo] = pcs.[RecNo] 
WHERE pnl.[LotID] + pnl.[LotNo] = 'VarLot'
AND pnl.[Side] = @Face
AND [LayerName] = 'VarLayer'
AND pnl.[ProcNo] = '38'
AND TRIM(pcs.[ItemName]) = 'Oxidation discoloration(氧化異色)'
        )
        ELSE ''
    END",IPQC,缺點數量,=,5Core-PTH,=,Oxidation discoloration(氧化異色),,,,,需篩選層別,,NULL,NULL
