Pkey,Module,Section,Area,ProcName,Password,Location,MachineNo,Machine,hasFace,Enable,CreateTime,UpdateTime
114,1,CCF,曝光外觀檢驗,"LTHCXP,LTHCDI",4393,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
113,1,CCF,CORE 壓膜外觀檢驗,"LTHRAP,LTHADF",4293,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
112,1,CCF,BUFF 外觀檢驗,PLSRBF,4093,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
111,1,CCU,PLGVCP-MAPPING,PLGVCP,2164,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
110,1,CCU,PLGPTR-MAPPING,"PLGPTR,PLGSPS",2144,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
109,1,CCU,PTHECU-MAPPING,PTHECU,2104,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
108,1,MDL,WPRWPR-MAPPING,WPRWPR,3123,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
107,1,MDL,MDLDBR-MAPPING,MDLDBR,3156,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
106,1,CCU,PTHPCU-MAPPING,PTHPCU,1122,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
105,4,RUT,EPG生產報表,"EPGEPG,HSFEPG",5989,,,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
103,0,PTH,DES#3 生產報表,SAPDEM,1165,,SAPDEM1033,H3 Desmear #03,0,0,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
102,2,PTH,DES#1.2 PTH#1 合并報表,SAPDEM,1164,,"SAPDEM1013,SAPDEM1023","H3 Desmear #01,H3 Desmear #02",0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
98,4,IMT,OSPPMA,OSPPMA,6996,,,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
96,4,RUT,2D CODE#7,DFMLID,2711,,DFMLID1073,H3 2D CODE#07,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
95,4,RUT,2D CODE#6,DFMLID,2611,,DFMLID1063,H3 2D CODE#06,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
94,4,RUT,2D CODE#5,DFMLID,2511,,DFMLID1053,H3 2D CODE#05,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
93,4,RUT,2D CODE#4,DFMLID,2411,,DFMLID1043,H3 2D CODE#04,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
92,4,RUT,2D CODE#3,DFMLID,2311,,DFMLID1033,H3 2D CODE#03,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
91,4,RUT,2D CODE#2,DFMLID,2211,,DFMLID1023,H3 2D CODE#02,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
90,2,ABF,ABFPOS,ABFPOS,3287,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
89,5,TST,TSTTST,"TSTTST,TSTMPW",4083,,,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
88,5,TST,TSTPBC,"TSTPBC,PSPMPC",6663,,,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
87,5,SAW,SAW,PSPDSS,7029,,,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
86,5,PSP,PSPBMP,"PSPBMP,PSPSMT",3209,,,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
85,5,PSP,PSPUBL,PSPUBL,7772,,,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
84,5,PSP,Deflux,"PSPDEF,PSPHDF",5532,,,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
83,0,AOI,AOIVRR,AOIMAP,0012,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
82,0,AOI,AOIAEI,AOIAEI,2848,,,,0,0,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
81,3,SAP,PTHANL-SE#5,"PTHANL,PTHSTP",4105,,PTHANL2043,H3 剝膜段 SE#05,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
80,3,SAP,PTHSAC-SE#1,"PTHSAC,HSFSPS",7711,,PTHSAC2013,H3 快速蝕刻線 SE#01,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
79,3,SAP,PTHANL-SE#4,"PTHANL,PTHSTP",5997,,"PTHSAC1053,PTHANL2033","H3 剝膜段 SE#04,H3 蝕刻段 SE#04",0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
78,3,SAP,PTHANL-SE#3,"PTHANL,HSFSTP,PTHSTP",6374,,PTHANL2013,H3 乾膜去膜SE#03(3F),0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
77,3,SAP,PTHFCU-龍門#6,PTHFCU,8957,,PTHFCU1053,H3 Cu Plating #06,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
76,3,SAP,PTHFCU-UVCP#4#5#6#7,PTHFCU,5216,,"PTHFCU2053,PTHFCU2063,PTHFCU2073,PTHFCU2083","H3 Cu Plating UVCP#04,H3 Cu Plating UVCP#05,H3 Cu Plating UVCP#06,H3 Cu Plating UVCP#07",0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
75,3,SAP,PTHFCU-UVCP#3,PTHFCU,4957,,PTHFCU2043,H3 Cu Plating UVCP#03,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
74,3,SAP,PTHFCU-UVCP#1#2,PTHFCU,4678,,"PTHFCU2013,PTHFCU2023","H3 Cu Plating UVCP#01,H3 Cu Plating UVCP#02",0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
73,3,LTH,LTHDFV #4~#5,LTHDFV,8583,,"LTHDFV1033,LTHDFV1043","H3 SAPCF 水平顯影線 #04,H3 SAPCF 乾膜顯影線 #05 (V+ 垂直框架)",0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
72,3,LTH,LTHDFV #3,LTHDFV,9106,,LTHDFV1023,H3 SAPCF 乾膜顯影線 #03 (V+ 垂直框架),0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
71,3,LTH,LTHDFV #1,LTHDFV,2510,,LTHDFV1013,H3 SAPCF 乾膜顯影線 #01,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
70,3,LTH,LTHUDI #6~#8#10,LTHUDI,3421,,"LTHEXP2063,LTHEXP2073,LTHEXP2083,LTHEXP2103","H3 SAPCF LDI #06,H3 SAPCF LDI #07,H3 SAPCF LDI #08,H3 SAPCF LDI #10",0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
69,3,LTH,LTHUDI #3,LTHUDI,3506,,LTHEXP2033,H3 SAPCF LDI #03,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
68,3,LTH,LTHUDI #2#4~#5,LTHUDI,6128,,"LTHEXP2043,LTHEXP2053,LTHEXP2023","H3 SAPCF LDI #02,H3 SAPCF LDI #04,H3 SAPCF LDI #05",0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
67,3,LTH,LTHACD #3~#4,LTHACD,0552,,"LTHACD1023,LTHACD1033","H3 SAPCF 壓膜前處理線 #03,H3 SAPCF 壓膜前處理線 #04",0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
66,3,LTH,LTHACD #2,"LTHACD,HSFACD",0313,,SPORAP1013,H3 SAPCF 壓膜前處理線 #02,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
65,3,LTH,LTHACD #1,LTHACD,2134,,LTHACD1013,H3 SAPCF 壓膜前處理線 #01,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
64,3,LTH,SAPNOV #6~#8,SAPNOV,0153,,"SAPNOV1113,SAPNOV1123,SAPNOV1133,SAPNOV1143,SAPNOV1153,SAPNOV1163,SAPNOV1173,SAPNOV1183,SAPNOV1193,SAPNOV1203,SAPNOV1213,SAPNOV1223","H3 SAPCF OVEN #06-左上,H3 SAPCF OVEN #06-左下,H3 SAPCF OVEN #06-右上,H3 SAPCF OVEN #06-右下,H3 SAPCF OVEN #07-左上,H3 SAPCF OVEN #07-左下,H3 SAPCF OVEN #07-右上,H3 SAPCF OVEN #07-右下,H3 SAPCF OVEN #08-左上,H3 SAPCF OVEN #08-左下,H3 SAPCF OVEN #08-右上,H3 SAPCF OVEN #08-右下",0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
63,3,LTH,SAPNOV #1~#5,SAPNOV,9475,,"SAPNOV1013,SAPNOV1023,SAPNOV1033,SAPNOV1043,SAPNOV1053,SAPNOV1063,SAPNOV1073,SAPNOV1083,SAPNOV1093,SAPNOV1103","H3 SAPCF OVEN #01-B1,H3 SAPCF OVEN #02-B1,H3 SAPCF OVEN #02-B2,H3 SAPCF OVEN #01-B2,H3 SAPCF OVEN #03-B1,H3 SAPCF OVEN #03-B2,H3 SAPCF OVEN #04-B1,H3 SAPCF OVEN #04-B2,H3 SAPCF OVEN #05-B1,H3 SAPCF OVEN #05-B2",0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
62,2,PTH,DES#3 PTH#2 合并報表,SAPDEM,1165,,SAPDEM1033,H3 Desmear #03,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
61,0,PTH,DES#1#2 生產報表,SAPDEM,1164,,"SAPDEM1013,SAPDEM1023","H3 Desmear #01,H3 Desmear #02",0,0,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
60,0,PTH,QVP-RA拉力,SAPECU,2915,,,,0,0,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
59,0,PTH,PTH外觀製程檢驗,SAPECU,3207,,,,0,0,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
58,2,LDL,Laser出料外觀檢驗,LDLPLF,3334,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
57,2,LDL,Laser進料外觀檢驗,LDLCOL,8923,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
56,2,ABF,ABFABF,ABFABF,9160,,,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
55,2,ABF,ABFPRC,ABFPRC,0739,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
54,2,ABF,ABFCZO,ABFCZO,5279,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
53,2,ABF,ABFMEC,ABFMEC,5376,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
52,2,ABF,ABFBZO,ABFBZO,8020,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
51,2,ABF,ABFMPO,ABFMPO,3405,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
50,2,ABF,ABFCLN,ABFCLN,4285,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
49,4,RUT,EPGPMA,"EPGPMA,HSFPMA",5997,,,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
48,4,RUT,PSPIOX,PSPIOX,3258,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
47,4,RUT,RUTCLN,RUTCLN,8312,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
46,4,RUT,RUTPTM,RUTPTM,4942,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
45,4,RUT,RUTCCD,RUTCCD,5886,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
44,0,RUT,GREEN LASER,DFMLID,2311,,"DFMLID1023,DFMLID1033","H3 2D CODE#02,H3 2D CODE#03",0,0,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
43,0,RUT,DFMLID(UV#4.5.6.7),DFMLID,2211,,"DFMLID1043,DFMLID1053,DFMLID1063,DFMLID1073","H3 2D CODE#04,H3 2D CODE#05,H3 2D CODE#06,H3 2D CODE#07",0,0,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
42,4,IMT,IMTDSC(IMTNOV),"IMTDSC,IMTNOV",6929,,,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
41,4,IMT,OSPOSP,"OSPOSP,HSFOSP",7957,,,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
40,4,IMT,IMTIMT,IMTIMT,7169,,,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
39,4,IMT,IMTPRE,"IMTPRE,HSFPRE",6950,,,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
38,4,SMK,SMKPOS,SMKPOS,9798,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
37,4,SMK,SMKLUV(UV#3),SMKLUV,7525,,SMKLUV1043,H3 UV#03(4F),0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
36,4,SMK,SMKNOV,SMKNOV,6204,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
35,4,SMK,SMKDEV(DEV#2),SMKDEV,3348,,SMKDEV1023,H3 SM DEV#02,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
34,4,SMK,SMKDEV(DEV#1),SMKDEV,3248,,SMKDEV1013,H3 SM DEV#01,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
33,4,SMK,SMKDEV(DEV#4),SMKDEV,3148,,SMKDEV1033,H3 SM DEV#04,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
32,4,SMK,SMKEXC,SMKEXC,2261,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
31,4,SMK,SMKEXP(EXP#7),SMKEXP,2581,,SMKEXP1063,H3 SM EXP#07,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
30,4,SMK,SMKEXP(EXP#6),SMKEXP,2481,,SMKEXP1053,H3 SM EXP#06,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
29,4,SMK,SMKUDI(DI#1.4),SMKUDI,0348,,"SMKEXP2013,SMKEXP2043","H3 DI曝光機#01,H3 DI曝光機#04",0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
28,4,SMK,SMKUDI(DI#2.3),SMKUDI,0248,,"SMKEXP2023,SMKEXP2033","H3 DI曝光機#02,H3 DI曝光機#03",0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
27,4,SMK,SMKVPF(PET#2.3),"SMKVPF,HSFVPF",0280,,"SMKVPF1023,SMKVPF1033","H3 SM PET#02,H3 SM PET#03",0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
26,4,SMK,SMKVPF(PET#1),SMKVPF,0180,,SMKVPF1013,H3 SM PET#01,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
25,4,SMK,SMKVDF(LAM#1),SMKVDF,2453,,SMKLAM1013,H3 SM LAM壓膜機 #01,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
24,4,SMK,SMKVDF(LAM#3),SMKVDF,2353,,SMKLAM1023,H3 SM LAM壓膜機 #03,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
23,4,SMK,SMKPTR(RC#5.6.7),SMKPTR,6688,,SMKPTR1033,H3 SM RC#5/RC#6/RC#7,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
22,4,SMK,SMKPTR(RC#8.9),SMKPTR,6588,,SMKPTR1043,H3 SM RC#8/RC#9,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
21,4,SMK,SMKMEC(CZ#3),SMKMEC,5246,,SMKMEC1033,H3 SM CZ#03,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
20,4,SMK,SMKMEC(CZ#1.2),SMKMEC,5146,,"SMKMEC1013,SMKMEC1023","H3 SM CZ#01,H3 SM CZ#02",0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
19,4,SMK,SMKCLN,SMKCLN,2118,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
18,1,CCF,LTHHES,LTHHES,4692,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
17,1,CCF,LTHDES,LTHDES,4592,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
16,1,CCF,LTHCDI,LTHCDI,4492,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
15,1,CCF,LTHCXP,LTHCXP,4392,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
14,1,CCF,LTHRAP(LTHADF),"LTHRAP,LTHADF",4292,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
13,1,CCF,PLGPRC,PLGPRC,4192,,,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
12,1,CCF,PLSRBF,PLSRBF,4092,,,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
11,1,CCU,PLGPOS,PLGPOS,2153,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
10,1,CCU,PLGSTN,PLGSTN,2173,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
9,1,CCU,PLGVCP,PLGVCP,2163,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
8,1,CCU,PLGPTR(PLGSPS),"PLGPTR,PLGSPS",2143,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
7,1,CCU,PLGANL,PLGANL,2133,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
6,1,CCU,PTHPCU,PTHPCU,2123,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
5,1,CCU,PTHECU,PTHECU,2103,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
4,1,MDL,MDLDBR,MDLDBR,3155,,,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
3,1,MDL,MDLMDL,MDLMDL,3144,,"MDLMDL1013,MDLMDL1023,MDLMDL1033,MDLMDL1043,MDLMDL1073,MDLMDL1083,MDLMDL1093,MDLMDL1103,MDLMDL1113,MDLMDL1123,MDLMDL1133,MDLMDL1143,MDLMDL1153,MDLMDL1163,MDLMDL1173,MDLMDL1183,MDLMDL1193,MDLMDL1203,MDLMDL1213,MDLMDL1223,MDLMDL1233,MDLMDL1243,MDLMDL1253,MDLMDL1263,MDLMDL1273,MDLMDL2013,MDLMDL2023,MDLMDL2033,MDLMDL2043,MDLMDL2053,MDLMDL2063,MDLMDL2073,MDLMDL2083,MDLMDL2103,MDLMDL2113,MDLMDL2123,MDLMDL2133,MDLMDL2143,MDLMDL2153,MDLMDL2163,MDLMDL2173,MDLMDL2183,MDLMDL2193,MDLMDL2203,MDLMDL2213,MDLMDL2223,MDLMDL2233,MDLMDL1283,MDLMDL1293,MDLMDL1333,MDLMDL1343,MDLMDL1353,MDLMDL1363,MDLMDL1373,MDLMDL1383,MDLMDL1393,MDLMDL1403,MDLMDL1413,MDLMDL1423,MDLMDL1433,MDLMDL1443,MDLMDL1453","H3 HITACHI 鑽孔機 200K #01,H3 HITACHI 鑽孔機 200K #02,H3 HITACHI 鑽孔機 200K #03,H3 HITACHI 鑽孔機 200K #04,H3 HITACHI 鑽孔機 200K #07,H3 HITACHI 鑽孔機 200K #08,H3 HITACHI 鑽孔機 200K #11,H3 HITACHI 鑽孔機 200K #12,H3 HITACHI 鑽孔機 200K #15,H3 HITACHI 鑽孔機 200K #16,H3 HITACHI 鑽孔機 200K #17,H3 HITACHI 鑽孔機 200K #18,H3 HITACHI 鑽孔機 200K #19,H3 HITACHI 鑽孔機 200K #20,H3 HITACHI 鑽孔機 200K #21,H3 HITACHI 鑽孔機 200K #22,H3 HITACHI 鑽孔機 200K #23,H3 HITACHI 鑽孔機 200K #24,H3 HITACHI 鑽孔機 200K #25,H3 HITACHI 鑽孔機 200K #26,H3 HITACHI 鑽孔機 200K #27,H3 HITACHI 鑽孔機 200K #40,H3 HITACHI 鑽孔機 200K #44,H3 HITACHI 鑽孔機 200K #47,H3 HITACHI 鑽孔機 200K #48,H3 HITACHI 鑽孔機 200K #28,H3 HITACHI 鑽孔機 200K #29,H3 HITACHI 鑽孔機 200K #30,H3 HITACHI 鑽孔機 200K #31,H3 HITACHI 鑽孔機 200K #32,H3 HITACHI 鑽孔機 330K #33,H3 HITACHI 鑽孔機 330K #34,H3 HITACHI 鑽孔機 330K #35,H3 HITACHI 鑽孔機 330K #37,H3 HITACHI 鑽孔機 330K #38,H3 HITACHI 鑽孔機 330K #39,H3 HITACHI 鑽孔機 330K #41,H3 HITACHI 鑽孔機 330K #42,H3 HITACHI 鑽孔機 330K #43,H3 HITACHI 鑽孔機 330K #45,H3 HITACHI 鑽孔機 330K #46,H3 HITACHI 鑽孔機 330K #50,H3 HITACHI 鑽孔機 330K #51,H3 HITACHI 鑽孔機 330K #52,H3 HITACHI 鑽孔機 330K #53,H3 HITACHI 鑽孔機 330K #54,H3 HITACHI 鑽孔機 330K #55,H3 HITACHI 鑽孔機 200K #36,H3 HITACHI 鑽孔機 200K #56,H3 HITACHI 鑽孔機 200K #57,H3 HITACHI 鑽孔機 200K #58,H3 HITACHI 鑽孔機 200K #59,H3 HITACHI 鑽孔機 200K #60,H3 HITACHI 鑽孔機 200K #61,H3 HITACHI 鑽孔機 200K #62,H3 HITACHI 鑽孔機 200K #63,H3 HITACHI 鑽孔機 200K #64,H3 HITACHI 鑽孔機 200K #65,H3 HITACHI 鑽孔機 200K #66,H3 HITACHI 鑽孔機 200K #67,H3 HITACHI 鑽孔機 200K #68,H3 HITACHI 鑽孔機 200K #69",0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
2,1,MDL,MDLPOS,MDLPOS,3133,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
1,1,MDL,WPRWPR,WPRWPR,3122,NULL,NULL,,0,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
