Pkey,PID,AreaID,CID,Lotnum,ProcName,LayerName,ParameterName,ParameterVaules,SystemTime,UploadTime,Count,Face
112,5,51,204,24193015-02-00,ABF1MPO1,-L2L3,其他主缺,0,2024-01-12 14:31:28.300,2024-01-12 21:40:46.000,0,2
113,5,51,205,24193015-02-00,ABF1MPO1,-L2L3,其他次缺,0,2024-01-12 14:31:28.300,2024-01-12 21:40:52.000,0,1
114,5,51,205,24193015-02-00,ABF1MPO1,-L2L3,其他次缺,0,2024-01-12 14:31:28.300,2024-01-12 21:40:52.000,0,2
115,5,51,206,24193015-02-00,ABF1MPO1,-L2L3,缺點總和,0,2024-01-12 14:31:28.300,2024-01-12 21:40:52.000,0,1
116,5,51,206,24193015-02-00,ABF1MPO1,-L2L3,缺點總和,0,2024-01-12 14:31:28.300,2024-01-12 21:40:52.000,0,2
117,5,51,207,24193015-02-00,ABF1MPO1,-L2L3,缺點率,0,2024-01-12 14:31:28.300,2024-01-12 21:40:52.000,0,1
118,5,51,207,24193015-02-00,ABF1MPO1,-L2L3,缺點率,0,2024-01-12 14:31:28.300,2024-01-12 21:40:52.000,0,2
119,5,51,208,24193015-02-00,ABF1MPO1,-L2L3,判定結果,OK,2024-01-12 14:31:28.300,2024-01-12 21:41:00.000,0,1
120,5,51,208,24193015-02-00,ABF1MPO1,-L2L3,判定結果,OK,2024-01-12 14:31:28.300,2024-01-12 21:41:13.000,0,2
121,6,51,197,241A3005-01-00,ABF1MPO1,-L2L3,檢驗片數,4,2024-01-12 14:31:28.300,NULL,0,1
122,6,51,197,241A3005-01-00,ABF1MPO1,-L2L3,檢驗片數,4,2024-01-12 14:31:28.300,NULL,0,2
123,6,51,198,241A3005-01-00,ABF1MPO1,-L2L3,檢驗板編,24.36.38.40,2024-01-12 14:31:28.300,2024-01-12 20:53:39.000,0,1
124,6,51,198,241A3005-01-00,ABF1MPO1,-L2L3,檢驗板編,24.36.38.40,2024-01-12 14:31:28.300,2024-01-12 20:53:42.000,0,2
125,6,51,199,241A3005-01-00,ABF1MPO1,-L2L3,片檢驗顆數,110,2024-01-12 14:31:28.300,2024-01-12 21:40:33.000,0,1
126,6,51,199,241A3005-01-00,ABF1MPO1,-L2L3,片檢驗顆數,110,2024-01-12 14:31:28.300,2024-01-12 21:40:34.000,0,2
127,6,51,200,241A3005-01-00,ABF1MPO1,-L2L3,板面破損,0,2024-01-12 14:31:28.300,2024-01-12 21:40:40.000,0,1
128,6,51,200,241A3005-01-00,ABF1MPO1,-L2L3,板面破損,0,2024-01-12 14:31:28.300,2024-01-12 21:40:40.000,0,2
129,6,51,201,241A3005-01-00,ABF1MPO1,-L2L3,板面刮傷,0,2024-01-12 14:31:28.300,2024-01-12 21:40:42.000,0,1
130,6,51,201,241A3005-01-00,ABF1MPO1,-L2L3,板面刮傷,0,2024-01-12 14:31:28.300,2024-01-12 21:40:41.000,0,2
131,6,51,202,241A3005-01-00,ABF1MPO1,-L2L3,手紋印,0,2024-01-12 14:31:28.300,2024-01-12 21:40:42.000,0,1
132,6,51,202,241A3005-01-00,ABF1MPO1,-L2L3,手紋印,0,2024-01-12 14:31:28.300,2024-01-12 21:40:43.000,0,2
133,6,51,203,241A3005-01-00,ABF1MPO1,-L2L3,板面污染,0,2024-01-12 14:31:28.300,2024-01-12 21:40:45.000,0,1
134,6,51,203,241A3005-01-00,ABF1MPO1,-L2L3,板面污染,0,2024-01-12 14:31:28.300,2024-01-12 21:40:44.000,0,2
135,6,51,204,241A3005-01-00,ABF1MPO1,-L2L3,其他主缺,0,2024-01-12 14:31:28.300,2024-01-12 21:40:45.000,0,1
136,6,51,204,241A3005-01-00,ABF1MPO1,-L2L3,其他主缺,0,2024-01-12 14:31:28.300,2024-01-12 21:40:45.000,0,2
137,6,51,205,241A3005-01-00,ABF1MPO1,-L2L3,其他次缺,0,2024-01-12 14:31:28.300,2024-01-12 21:40:55.000,0,1
138,6,51,205,241A3005-01-00,ABF1MPO1,-L2L3,其他次缺,0,2024-01-12 14:31:28.300,2024-01-12 21:40:54.000,0,2
139,6,51,206,241A3005-01-00,ABF1MPO1,-L2L3,缺點總和,0,2024-01-12 14:31:28.300,2024-01-12 21:40:55.000,0,1
140,6,51,206,241A3005-01-00,ABF1MPO1,-L2L3,缺點總和,0,2024-01-12 14:31:28.300,2024-01-12 21:40:54.000,0,2
141,6,51,207,241A3005-01-00,ABF1MPO1,-L2L3,缺點率,0,2024-01-12 14:31:28.300,2024-01-12 21:40:55.000,0,1
142,6,51,207,241A3005-01-00,ABF1MPO1,-L2L3,缺點率,0,2024-01-12 14:31:28.300,2024-01-12 21:40:54.000,0,2
143,6,51,208,241A3005-01-00,ABF1MPO1,-L2L3,判定結果,OK,2024-01-12 14:31:28.300,2024-01-12 21:40:59.000,0,1
144,6,51,208,241A3005-01-00,ABF1MPO1,-L2L3,判定結果,OK,2024-01-12 14:31:28.300,2024-01-12 21:41:00.000,0,2
145,7,51,197,24143013-01-00,ABF1MPO1,-L4L5,檢驗片數,4,2024-01-12 14:31:28.300,NULL,0,1
146,7,51,197,24143013-01-00,ABF1MPO1,-L4L5,檢驗片數,4,2024-01-12 14:31:28.300,NULL,0,2
147,7,51,198,24143013-01-00,ABF1MPO1,-L4L5,檢驗板編,21.8.3.44,2024-01-12 14:31:28.300,2024-01-12 20:53:18.000,0,1
148,7,51,198,24143013-01-00,ABF1MPO1,-L4L5,檢驗板編,21.8.3.44,2024-01-12 14:31:28.300,2024-01-12 20:53:21.000,0,2
149,7,51,199,24143013-01-00,ABF1MPO1,-L4L5,片檢驗顆數,64,2024-01-12 14:31:28.300,2024-01-12 21:06:44.000,0,1
150,7,51,199,24143013-01-00,ABF1MPO1,-L4L5,片檢驗顆數,64,2024-01-12 14:31:28.300,2024-01-12 21:06:46.000,0,2
151,7,51,200,24143013-01-00,ABF1MPO1,-L4L5,板面破損,0,2024-01-12 14:31:28.300,2024-01-12 21:14:30.000,0,1
152,7,51,200,24143013-01-00,ABF1MPO1,-L4L5,板面破損,0,2024-01-12 14:31:28.300,2024-01-12 21:14:31.000,0,2
153,7,51,201,24143013-01-00,ABF1MPO1,-L4L5,板面刮傷,0,2024-01-12 14:31:28.300,2024-01-12 21:14:32.000,0,1
154,7,51,201,24143013-01-00,ABF1MPO1,-L4L5,板面刮傷,0,2024-01-12 14:31:28.300,2024-01-12 21:14:31.000,0,2
155,7,51,202,24143013-01-00,ABF1MPO1,-L4L5,手紋印,0,2024-01-12 14:31:28.300,2024-01-12 21:14:36.000,0,1
156,7,51,202,24143013-01-00,ABF1MPO1,-L4L5,手紋印,0,2024-01-12 14:31:28.300,2024-01-12 21:14:35.000,0,2
157,7,51,203,24143013-01-00,ABF1MPO1,-L4L5,板面污染,0,2024-01-12 14:31:28.300,2024-01-12 21:14:37.000,0,1
158,7,51,203,24143013-01-00,ABF1MPO1,-L4L5,板面污染,0,2024-01-12 14:31:28.300,2024-01-12 21:14:37.000,0,2
159,7,51,204,24143013-01-00,ABF1MPO1,-L4L5,其他主缺,0,2024-01-12 14:31:28.300,2024-01-12 21:14:41.000,0,1
160,7,51,204,24143013-01-00,ABF1MPO1,-L4L5,其他主缺,0,2024-01-12 14:31:28.300,2024-01-12 21:14:42.000,0,2
161,7,51,205,24143013-01-00,ABF1MPO1,-L4L5,其他次缺,0,2024-01-12 14:31:28.300,2024-01-12 21:14:43.000,0,1
162,7,51,205,24143013-01-00,ABF1MPO1,-L4L5,其他次缺,0,2024-01-12 14:31:28.300,2024-01-12 21:14:43.000,0,2
163,7,51,206,24143013-01-00,ABF1MPO1,-L4L5,缺點總和,0,2024-01-12 14:31:28.300,2024-01-12 21:14:43.000,0,1
164,7,51,206,24143013-01-00,ABF1MPO1,-L4L5,缺點總和,0,2024-01-12 14:31:28.300,2024-01-12 21:14:43.000,0,2
165,7,51,207,24143013-01-00,ABF1MPO1,-L4L5,缺點率,0,2024-01-12 14:31:28.300,2024-01-12 21:14:43.000,0,1
166,7,51,207,24143013-01-00,ABF1MPO1,-L4L5,缺點率,0,2024-01-12 14:31:28.300,2024-01-12 21:14:43.000,0,2
167,7,51,208,24143013-01-00,ABF1MPO1,-L4L5,判定結果,OK,2024-01-12 14:31:28.300,2024-01-12 21:14:56.000,0,1
168,7,51,208,24143013-01-00,ABF1MPO1,-L4L5,判定結果,OK,2024-01-12 14:31:28.300,2024-01-12 21:14:57.000,0,2
169,8,51,197,24133023-01-00,ABF2MPO1,-L3L6,檢驗片數,2,2024-01-12 14:31:28.300,2024-01-12 20:43:32.000,0,1
170,8,51,197,24133023-01-00,ABF2MPO1,-L3L6,檢驗片數,2,2024-01-12 14:31:28.300,2024-01-12 20:43:32.000,0,2
171,8,51,198,24133023-01-00,ABF2MPO1,-L3L6,檢驗板編,2,2024-01-12 14:31:28.300,2024-01-12 20:53:01.000,0,1
172,8,51,198,24133023-01-00,ABF2MPO1,-L3L6,檢驗板編,2,2024-01-12 14:31:28.300,2024-01-12 20:53:01.000,0,2
173,8,51,199,24133023-01-00,ABF2MPO1,-L3L6,片檢驗顆數,360,2024-01-12 14:31:28.300,2024-01-12 21:06:36.000,0,1
174,8,51,199,24133023-01-00,ABF2MPO1,-L3L6,片檢驗顆數,360,2024-01-12 14:31:28.300,2024-01-12 21:06:38.000,0,2
175,8,51,200,24133023-01-00,ABF2MPO1,-L3L6,板面破損,0,2024-01-12 14:31:28.300,2024-01-12 21:14:29.000,0,1
176,8,51,200,24133023-01-00,ABF2MPO1,-L3L6,板面破損,0,2024-01-12 14:31:28.300,2024-01-12 21:14:29.000,0,2
177,8,51,201,24133023-01-00,ABF2MPO1,-L3L6,板面刮傷,0,2024-01-12 14:31:28.300,2024-01-12 21:14:32.000,0,1
178,8,51,201,24133023-01-00,ABF2MPO1,-L3L6,板面刮傷,0,2024-01-12 14:31:28.300,2024-01-12 21:14:32.000,0,2
179,8,51,202,24133023-01-00,ABF2MPO1,-L3L6,手紋印,0,2024-01-12 14:31:28.300,2024-01-12 21:14:34.000,0,1
180,8,51,202,24133023-01-00,ABF2MPO1,-L3L6,手紋印,0,2024-01-12 14:31:28.300,2024-01-12 21:14:34.000,0,2
181,8,51,203,24133023-01-00,ABF2MPO1,-L3L6,板面污染,0,2024-01-12 14:31:28.300,2024-01-12 21:14:38.000,0,1
182,8,51,203,24133023-01-00,ABF2MPO1,-L3L6,板面污染,0,2024-01-12 14:31:28.300,2024-01-12 21:14:38.000,0,2
183,8,51,204,24133023-01-00,ABF2MPO1,-L3L6,其他主缺,0,2024-01-12 14:31:28.300,2024-01-12 21:14:40.000,0,1
184,8,51,204,24133023-01-00,ABF2MPO1,-L3L6,其他主缺,0,2024-01-12 14:31:28.300,2024-01-12 21:14:41.000,0,2
185,8,51,205,24133023-01-00,ABF2MPO1,-L3L6,其他次缺,0,2024-01-12 14:31:28.300,2024-01-12 21:14:45.000,0,1
186,8,51,205,24133023-01-00,ABF2MPO1,-L3L6,其他次缺,0,2024-01-12 14:31:28.300,2024-01-12 21:14:44.000,0,2
187,8,51,206,24133023-01-00,ABF2MPO1,-L3L6,缺點總和,0,2024-01-12 14:31:28.300,2024-01-12 21:14:45.000,0,1
