Pkey,AreaID,PID,Area,ProcName,Password,ParameterName,EnglishName,isQuery,QID,isRequire,DefaultValues,hasFace,OnlyDisplay,Enable,CreateTime,UpdateTime
44,10,2,PLGSTN,NULL,,網板編號,Screen No.,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
45,10,3,PLGSTN,NULL,,樹脂種類,Resin Type,1,18,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
46,10,4,PLGSTN,NULL,,樹脂罐號,Resin Pot No.,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
47,10,5,PLGSTN,NULL,,印刷速度,Printing speed,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
48,10,6,PLGSTN,NULL,,板間隙,Off contact,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
49,10,7,PLGSTN,NULL,,印刷角度,Printing angle,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
50,11,1,PLGPOS,NULL,,烘烤溫度/時間 (OVEN),Baking Temp/Time (OVEN),1,190,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
52,12,1,PLSRBF,NULL,,銅厚規格,,1,19,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
53,12,2,PLSRBF,NULL,,減銅參數,Parameter,1,20,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
54,12,3,PLSRBF,NULL,,最大銅厚,MAX Thickness,1,21,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
55,12,4,PLSRBF,NULL,,最小銅厚,MIN Thickness,1,22,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
56,12,5,PLSRBF,NULL,,平均銅厚,AVG Thickness,1,23,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
57,14,1,LTHRAP(LTHADF),NULL,,咬蝕量,,1,203,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
58,14,2,LTHRAP(LTHADF),NULL,,咬蝕量規格,,1,211,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
59,14,3,LTHRAP(LTHADF),NULL,,膜種,Dryfilm type,1,24,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
60,14,4,LTHRAP(LTHADF),NULL,,上膜編號,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
61,14,5,LTHRAP(LTHADF),NULL,,下膜編號,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
62,14,6,LTHRAP(LTHADF),NULL,,壓膜溫度,LAM Temp,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
63,15,1,LTHCXP,NULL,,底片編號 GI2,Mask no. GI2,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
64,15,2,LTHCXP,NULL,,底片漲縮 GI2,Mask no. GI2,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
65,15,3,LTHCXP,NULL,,底片編號 GI3,Mask no. GI3,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
66,15,4,LTHCXP,NULL,,底片漲縮 GI3,Mask no. GI3,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
67,15,5,LTHCXP,NULL,,對位精度,Tolerance,1,25,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
68,15,6,LTHCXP,NULL,,曝光能量,Exposure energy,1,337,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
70,16,1,LTHCDI,NULL,,X漲縮,Exposure Scale X,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
71,16,2,LTHCDI,NULL,,Y漲縮,Exposure Scale Y,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
72,16,3,LTHCDI,NULL,,對位精度,Tolerance,1,26,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
73,16,4,LTHCDI,NULL,,曝光能量,Exposure energy,1,338,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
76,17,3,LTHDES,NULL,,前製程銅厚,,1,27,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
77,17,4,LTHDES,NULL,,膜種,Dryfilm type,1,28,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
78,17,5,LTHDES,NULL,,最小線距,Min Space,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
79,17,6,LTHDES,NULL,,蝕刻線速 (m/min),Etching speed (m/min),0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
80,17,7,LTHDES,NULL,,線寬GI2,,0,31,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
81,17,9,LTHDES,NULL,,線寬GI3,,0,33,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
82,17,8,LTHDES,NULL,,線距GI2,,0,32,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
83,17,10,LTHDES,NULL,,線距GI3,,0,34,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
84,17,11,LTHDES,NULL,,PAD-TOP GI2,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
85,17,12,LTHDES,NULL,,PAD-MID GI2,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
86,17,13,LTHDES,NULL,,PAD-BOTTOM GI2,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
87,17,14,LTHDES,NULL,,PAD-TOP GI3,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
88,17,15,LTHDES,NULL,,PAD-MID GI3,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
89,17,16,LTHDES,NULL,,PAD-BOTTOM GI3,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
92,18,3,LTHHES,NULL,,前製程銅厚,,1,29,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
93,18,4,LTHHES,NULL,,膜種,Dryfilm type,1,30,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
94,18,5,LTHHES,NULL,,最小線距,Min Space,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
95,18,6,LTHHES,NULL,,蝕刻線速 (m/min),Etching Speed (m/min),0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
96,18,7,LTHHES,NULL,,線寬 GI2,,0,35,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
97,18,8,LTHHES,NULL,,線距 GI2,,0,36,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
98,18,9,LTHHES,NULL,,線寬 GI3,,0,37,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
99,18,10,LTHHES,NULL,,線距 GI3,,0,38,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
100,18,11,LTHHES,NULL,,PAD-TOP GI2,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
101,18,12,LTHHES,NULL,,PAD-MID GI2,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
102,18,13,LTHHES,NULL,,PAD-BOTTOM GI2,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
103,18,14,LTHHES,NULL,,PAD-TOP GI3,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
104,18,15,LTHHES,NULL,,PAD-MID GI3,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
105,18,16,LTHHES,NULL,,PAD-BOTTOM GI3,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
106,56,1,ABFABF,NULL,,上下膜編號,ABF ID,1,350,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
107,56,2,ABFABF,NULL,,膜厚,ABF Thickness,1,305,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
109,56,3,ABFABF,NULL,,增層層別,Product Size,1,292,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
111,56,4,ABFABF,NULL,,淨時間(分),Net time,1,263,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
112,56,5,ABFABF,NULL,,黏塵紙割換,Change clean roller paper,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
118,56,12,ABFABF,NULL,,確認者,Operator,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
121,55,2,ABFPRC,NULL,,撕膜人員,Mylar Personnel,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
122,55,3,ABFPRC,NULL,,收板人員,Receiving Personnel,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
123,55,4,ABFPRC,NULL,,烤箱屑,Dirt of oven,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
124,55,5,ABFPRC,NULL,,膜屑,Filming,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
125,55,6,ABFPRC,NULL,,板邊屑,Edging,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
126,55,7,ABFPRC,NULL,,毛屑,Dander,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
127,55,8,ABFPRC,NULL,,其他,Other,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
128,55,9,ABFPRC,NULL,,板面異物,Foreign material on panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
129,55,10,ABFPRC,NULL,,凹陷單元,Unit dent,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
130,55,11,ABFPRC,NULL,,板面凹陷,Dent on panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
131,55,12,ABFPRC,NULL,,貼膜偏移,ABF shift,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
132,55,13,ABFPRC,NULL,,板面刮傷,Scratch on panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
133,55,14,ABFPRC,NULL,,缺膜,Lack of ABF,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
134,55,15,ABFPRC,NULL,,氣泡,Blistering,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
135,55,16,ABFPRC,NULL,,ABF膜皺摺,Wrinkle on ABF,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
136,55,17,ABFPRC,NULL,,線路浮離,Cu Drift,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
137,55,18,ABFPRC,NULL,,其他主缺,Others(Major),0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
138,55,19,ABFPRC,NULL,,其他次缺,Others(Minor),0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
139,55,20,ABFPRC,NULL,,缺點總和,Total Defect,1,59,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
140,55,21,ABFPRC,NULL,,缺點率,NG %,1,102,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
141,55,22,ABFPRC,NULL,,判定結果,OKorNG,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
142,55,23,ABFPRC,NULL,,檢驗者,Check,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
143,54,1,ABFCZO,NULL,,第一段線速,1st speed,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
144,54,2,ABFCZO,NULL,,第二段線速,2nd speed,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
145,54,3,ABFCZO,NULL,,第三段線速,3rd speed,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
146,54,4,ABFCZO,NULL,,檢驗片數,Inspect quantity,0,0,1,4,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
147,54,5,ABFCZO,NULL,,檢驗板編,Panel No.,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
148,54,6,ABFCZO,NULL,,Panel_PCS,,1,303,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
149,54,7,ABFCZO,NULL,,板面破損,Damage on Panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
150,54,8,ABFCZO,NULL,,氧化異色,Oxidation discoloration,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
151,54,9,ABFCZO,NULL,,板面刮傷,Scratch on panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
152,54,10,ABFCZO,NULL,,板面異物,Foreign material on panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
153,54,11,ABFCZO,NULL,,手紋印,Handprint mark,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
154,54,12,ABFCZO,NULL,,異物亮點,Foreign material spot,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
155,54,13,ABFCZO,NULL,,板面污染,Contamination on panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
156,54,14,ABFCZO,NULL,,其他主缺,Others(Major),0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
157,54,15,ABFCZO,NULL,,其他次缺,Others(Minor),0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
158,54,16,ABFCZO,NULL,,缺點總和,ALL NG,1,54,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
159,54,17,ABFCZO,NULL,,缺點率,NG %,1,55,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
160,54,24,ABFCZO,NULL,,判定結果,OKorNG,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
161,53,1,ABFMEC,NULL,,第一段線速,1st speed,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
162,53,2,ABFMEC,NULL,,第二段線速,2nd speed,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
163,53,3,ABFMEC,NULL,,第三段線速,3rd speed,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
164,53,4,ABFMEC,NULL,,檢驗片數,Inspect quantity,0,0,1,4,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
165,53,5,ABFMEC,NULL,,檢驗板編,Panel No.,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
166,53,6,ABFMEC,NULL,,Panel_PCS,,1,302,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
167,53,7,ABFMEC,NULL,,板面破損,Damage on Panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
168,53,8,ABFMEC,NULL,,氧化異色,Oxidation discoloration,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
169,53,9,ABFMEC,NULL,,板面刮傷,Scratch on panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
170,53,10,ABFMEC,NULL,,板面異物,Foreign material on panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
171,53,11,ABFMEC,NULL,,手紋印,Handprint mark,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
172,53,12,ABFMEC,NULL,,異物亮點,Foreign material spot,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
173,53,13,ABFMEC,NULL,,板面污染,Contamination on panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
174,53,14,ABFMEC,NULL,,其他主缺,Others(Major),0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
175,53,15,ABFMEC,NULL,,其他次缺,Others(Minor),0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
176,53,16,ABFMEC,NULL,,缺點總和,ALL NG,1,52,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
177,53,17,ABFMEC,NULL,,缺點率,NG %,1,53,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
178,53,24,ABFMEC,NULL,,判定結果,OKorNG,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
179,52,1,ABFBZO,NULL,,第一段線速,1st speed,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
180,52,2,ABFBZO,NULL,,第二段線速,2nd speed,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
181,52,3,ABFBZO,NULL,,第三段線速,3rd speed,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
182,52,4,ABFBZO,NULL,,檢驗片數,Inspect quantity,0,0,1,4,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
183,52,5,ABFBZO,NULL,,檢驗板編,Panel No.,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
184,52,6,ABFBZO,NULL,,Panel_PCS,,1,301,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
185,52,7,ABFBZO,NULL,,板面破損,Damage on Panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
186,52,8,ABFBZO,NULL,,氧化異色,Oxidation discoloration,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
187,52,9,ABFBZO,NULL,,板面刮傷,Scratch on panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
188,52,10,ABFBZO,NULL,,板面異物,Foreign material on panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
189,52,11,ABFBZO,NULL,,手紋印,Handprint mark,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
190,52,12,ABFBZO,NULL,,異物亮點,Foreign material spot,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
191,52,13,ABFBZO,NULL,,板面污染,Contamination on panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
192,52,14,ABFBZO,NULL,,其他主缺,Others(Major),0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
193,52,15,ABFBZO,NULL,,其他次缺,Others(Minor),0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
194,52,16,ABFBZO,NULL,,缺點總和,ALL NG,1,50,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
195,52,17,ABFBZO,NULL,,缺點率,NG %,1,51,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
196,52,24,ABFBZO,NULL,,判定結果,OKorNG,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
197,51,1,ABFMPO,NULL,,檢驗片數,Inspect quality,0,0,1,4,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
198,51,2,ABFMPO,NULL,,檢驗板編,Panel No.,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
199,51,3,ABFMPO,NULL,,Panel_PCS,,1,300,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
200,51,4,ABFMPO,NULL,,板面破損,Damage on Panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
201,51,5,ABFMPO,NULL,,板面刮傷,Scratch on panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
202,51,6,ABFMPO,NULL,,手紋印,Handprint mark,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
203,51,7,ABFMPO,NULL,,板面污染,Contamination on panel,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
204,51,8,ABFMPO,NULL,,其他主缺,Others(Major),0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
205,51,9,ABFMPO,NULL,,其他次缺,Others(Minor),0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
206,51,10,ABFMPO,NULL,,缺點總和,ALL NG,1,42,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
207,51,11,ABFMPO,NULL,,缺點率,NG %,1,43,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
208,51,12,ABFMPO,NULL,,判定結果,OKorNG,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
209,50,1,ABFCLN,NULL,,檢驗片數,Inspect quantity,0,0,1,4,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
210,50,2,ABFCLN,NULL,,檢驗板編,Panel No.,0,0,1,0,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
211,50,3,ABFCLN,NULL,,Panel_PCS,,1,299,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
